CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Osasuna,Barcelona,0,2,2021
Huesca,Celta,3,4,2021
Ath Madrid,Real Madrid,1,1,2021
Sociedad,Levante,1,0,2021
Ath Bilbao,Granada,2,1,2021
Betis,Alaves,3,2,2021
Ath Madrid,Ath Bilbao,2,1,2021
Levante,Valencia,1,0,2021
Alaves,Cadiz,1,1,2021
Real Madrid,Elche,2,1,2021
Osasuna,Valladolid,0,0,2021
Getafe,Ath Madrid,0,0,2021
Celta,Ath Bilbao,0,0,2021
Granada,Sociedad,1,0,2021
Eibar,Villarreal,1,3,2021
Sevilla,Betis,1,0,2021
Barcelona,Huesca,4,1,2021
Sevilla,Elche,2,0,2021
Betis,Levante,2,0,2021
Ath Bilbao,Eibar,1,1,2021
Celta,Real Madrid,1,3,2021
Huesca,Osasuna,0,0,2021
Valladolid,Sevilla,1,1,2021
Getafe,Elche,1,1,2021
Valencia,Granada,2,1,2021
Villarreal,Cadiz,2,1,2021
Ath Madrid,Alaves,1,0,2021
Sociedad,Barcelona,1,6,2021
Levante,Huesca,0,2,2021
Granada,Villarreal,0,3,2021
Real Madrid,Eibar,2,0,2021
Osasuna,Getafe,0,0,2021
Alaves,Celta,1,3,2021
Elche,Betis,1,1,2021
Cadiz,Valencia,2,1,2021
Sevilla,Ath Madrid,1,0,2021
Barcelona,Valladolid,1,0,2021
Sociedad,Ath Bilbao,1,1,2021
Huesca,Elche,3,1,2021
Getafe,Cadiz,0,1,2021
Ath Bilbao,Alaves,0,0,2021
Eibar,Levante,0,1,2021
Real Madrid,Barcelona,2,1,2021
Villarreal,Osasuna,1,2,2021
Valencia,Sociedad,2,2,2021
Valladolid,Granada,1,2,2021
Betis,Ath Madrid,1,1,2021
Celta,Sevilla,3,4,2021
Osasuna,Elche,2,0,2021
Sociedad,Sevilla,1,2,2021
Alaves,Huesca,1,0,2021
Ath Madrid,Eibar,5,0,2021
Betis,Valencia,2,2,2021
Cadiz,Celta,0,0,2021
Getafe,Real Madrid,0,0,2021
Levante,Villarreal,1,5,2021
Levante,Sevilla,0,1,2021
Osasuna,Valencia,3,1,2021
Betis,Ath Bilbao,0,0,2021
Alaves,Villarreal,2,1,2021
Elche,Valladolid,1,1,2021
Cadiz,Real Madrid,0,3,2021
Ath Madrid,Huesca,2,0,2021
Granada,Eibar,4,1,2021
Sociedad,Celta,2,1,2021
Barcelona,Getafe,5,2,2021
Elche,Levante,1,0,2021
Valladolid,Cadiz,1,1,2021
Valencia,Alaves,1,1,2021
Real Madrid,Betis,0,0,2021
Huesca,Getafe,0,2,2021
Villarreal,Barcelona,1,2,2021
Celta,Osasuna,2,1,2021
Sevilla,Granada,2,1,2021
Ath Bilbao,Ath Madrid,2,1,2021
Eibar,Sociedad,0,1,2021
Ath Bilbao,Valladolid,2,2,2021
Barcelona,Granada,1,2,2021
Celta,Levante,2,0,2021
Eibar,Alaves,3,0,2021
Elche,Ath Madrid,0,1,2021
Huesca,Sociedad,1,0,2021
Real Madrid,Osasuna,2,0,2021
Valladolid,Betis,1,1,2021
Villarreal,Getafe,1,0,2021
Granada,Cadiz,0,1,2021
Valencia,Barcelona,2,3,2021
Sevilla,Ath Bilbao,0,1,2021
Sociedad,Elche,2,0,2021
Alaves,Levante,2,2,2021
Barcelona,Ath Madrid,0,0,2021
Cadiz,Huesca,2,1,2021
Ath Bilbao,Osasuna,2,2,2021
Getafe,Eibar,0,1,2021
Valencia,Valladolid,3,0,2021
Villarreal,Celta,2,4,2021
Real Madrid,Sevilla,2,2,2021
Betis,Granada,2,1,2021
Osasuna,Cadiz,3,2,2021
Elche,Alaves,0,2,2021
Levante,Barcelona,3,3,2021
Sevilla,Valencia,1,0,2021
Celta,Getafe,1,0,2021
Huesca,Ath Bilbao,1,0,2021
Ath Madrid,Sociedad,2,1,2021
Valladolid,Villarreal,0,2,2021
Eibar,Betis,1,1,2021
Granada,Real Madrid,1,4,2021
Alaves,Granada,4,2,2021
Ath Bilbao,Real Madrid,0,1,2021
Ath Madrid,Osasuna,2,1,2021
Barcelona,Celta,1,2,2021
Betis,Huesca,1,0,2021
Cadiz,Elche,1,3,2021
Getafe,Levante,2,1,2021
Sociedad,Valladolid,4,1,2021
Valencia,Eibar,4,1,2021
Villarreal,Sevilla,4,0,2021
Levante,Cadiz,2,2,2021
Celta,Betis,2,3,2021
Eibar,Barcelona,0,1,2021
Elche,Ath Bilbao,2,0,2021
Huesca,Valencia,0,0,2021
Osasuna,Sociedad,0,1,2021
Real Madrid,Villarreal,2,1,2021
Valladolid,Ath Madrid,1,2,2021
Granada,Getafe,0,0,2021
Sevilla,Alaves,1,0,2021
Fiorentina,Torino,1,0,2021
Verona,Roma,0,0,2021
Parma,Napoli,0,2,2021
Genoa,Crotone,4,1,2021
Sassuolo,Cagliari,1,1,2021
Juventus,Sampdoria,3,0,2021
Milan,Bologna,2,0,2021
Torino,Atalanta,2,4,2021
Cagliari,Lazio,0,2,2021
Sampdoria,Benevento,2,3,2021
Inter,Fiorentina,4,3,2021
Spezia,Sassuolo,1,4,2021
Napoli,Genoa,6,0,2021
Verona,Udinese,1,0,2021
